                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3747,                0.92634,                 1.2133,                0.81078,                0.60573,                0.74091,                0.52012,                 1.1254,                0.70441,                 1.0837,               0.006634,               0.006634,               0.006634
                     37,                 1.3721,                0.92251,                 1.2125,                0.81029,                0.60613,                0.74122,                0.52064,                 1.1238,                0.70315,                 1.0827,               0.006535,               0.006535,               0.006535
                     38,                 1.3703,                0.92351,                 1.2121,                0.80939,                0.60672,                0.74117,                0.52109,                 1.1219,                0.70172,                 1.0817,               0.006436,               0.006436,               0.006436
                     39,                 1.3685,                0.91744,                 1.2097,                0.80919,                0.60711,                0.74153,                0.52158,                 1.1204,                0.70052,                 1.0808,               0.006337,               0.006337,               0.006337
                     40,                 1.3698,                0.92077,                   1.21,                0.80699,                0.60864,                0.74188,                0.52211,                 1.1188,                0.69903,                 1.0797,               0.006238,               0.006238,               0.006238
                     41,                 1.3642,                0.91683,                 1.2067,                0.80566,                0.60957,                0.74207,                0.52269,                  1.117,                0.69735,                 1.0787,               0.006139,               0.006139,               0.006139
                     42,                 1.3689,                0.92105,                 1.2069,                0.80514,                0.61027,                0.74242,                0.52322,                 1.1152,                0.69585,                 1.0776,                0.00604,                0.00604,                0.00604
                     43,                 1.3634,                0.91385,                  1.205,                0.80497,                0.61036,                0.74261,                0.52361,                 1.1136,                0.69442,                 1.0766,               0.005941,               0.005941,               0.005941
                     44,                 1.3593,                0.91085,                 1.2029,                0.80391,                0.61148,                 0.7429,                0.52426,                 1.1119,                0.69285,                 1.0755,               0.005842,               0.005842,               0.005842
                     45,                 1.3602,                0.91074,                  1.203,                0.80237,                 0.6124,                0.74309,                0.52469,                 1.1101,                0.69153,                 1.0744,               0.005743,               0.005743,               0.005743
                     46,                 1.3593,                0.90903,                 1.2008,                0.80333,                0.61246,                0.74332,                0.52507,                 1.1086,                 0.6901,                 1.0734,               0.005644,               0.005644,               0.005644
                     47,                 1.3561,                0.90822,                 1.1999,                0.80168,                0.61383,                0.74362,                0.52575,                 1.1068,                0.68858,                 1.0723,               0.005545,               0.005545,               0.005545
                     48,                 1.3538,                0.90612,                 1.1982,                0.80254,                0.61387,                0.74371,                0.52614,                 1.1052,                0.68731,                 1.0713,               0.005446,               0.005446,               0.005446
                     49,                  1.348,                0.90362,                 1.1985,                0.80273,                0.61424,                0.74404,                0.52687,                 1.1036,                 0.6861,                 1.0705,               0.005347,               0.005347,               0.005347
                     50,                 1.3491,                0.90055,                 1.1955,                0.80095,                0.61468,                0.74423,                0.52743,                 1.1022,                 0.6846,                 1.0696,               0.005248,               0.005248,               0.005248
                     51,                 1.3458,                0.90067,                 1.1931,                 0.8025,                0.61415,                0.74439,                0.52799,                 1.1005,                0.68311,                 1.0686,               0.005149,               0.005149,               0.005149
                     52,                 1.3477,                0.90178,                 1.1958,                 0.7962,                0.61759,                0.74474,                0.52866,                 1.0986,                0.68181,                 1.0675,                0.00505,                0.00505,                0.00505
                     53,                 1.3401,                0.89555,                 1.1922,                0.79258,                0.62005,                 0.7451,                 0.5292,                 1.0967,                0.68049,                 1.0664,               0.004951,               0.004951,               0.004951
                     54,                 1.3414,                  0.895,                 1.1911,                0.79059,                0.62139,                0.74535,                0.52977,                 1.0951,                0.67901,                 1.0654,               0.004852,               0.004852,               0.004852
                     55,                 1.3373,                0.89401,                 1.1901,                0.79011,                0.62247,                0.74579,                0.53048,                 1.0934,                0.67749,                 1.0644,               0.004753,               0.004753,               0.004753
                     56,                 1.3393,                0.89392,                 1.1905,                 0.7914,                 0.6223,                0.74608,                0.53093,                  1.092,                0.67583,                 1.0634,               0.004654,               0.004654,               0.004654
                     57,                 1.3338,                0.89044,                 1.1853,                0.79211,                0.62237,                0.74638,                0.53118,                 1.0903,                0.67425,                 1.0624,               0.004555,               0.004555,               0.004555
                     58,                 1.3351,                0.89037,                 1.1862,                0.79295,                0.62187,                0.74646,                0.53168,                 1.0887,                0.67328,                 1.0613,               0.004456,               0.004456,               0.004456
                     59,                 1.3325,                0.88641,                 1.1833,                0.79335,                0.62204,                0.74674,                0.53212,                  1.087,                0.67183,                 1.0603,               0.004357,               0.004357,               0.004357
                     60,                 1.3273,                0.88224,                 1.1815,                0.79452,                0.62203,                0.74711,                0.53261,                 1.0856,                0.67032,                 1.0594,               0.004258,               0.004258,               0.004258
                     61,                 1.3267,                0.88185,                 1.1814,                0.79538,                0.62202,                0.74737,                0.53305,                  1.084,                0.66905,                 1.0584,               0.004159,               0.004159,               0.004159
                     62,                 1.3248,                0.87938,                 1.1806,                0.79575,                0.62183,                0.74747,                0.53348,                 1.0823,                0.66772,                 1.0574,                0.00406,                0.00406,                0.00406
                     63,                  1.324,                0.87738,                 1.1788,                0.79617,                0.62198,                0.74771,                 0.5339,                 1.0801,                0.66613,                 1.0562,               0.003961,               0.003961,               0.003961
                     64,                 1.3188,                 0.8737,                 1.1765,                0.79661,                0.62172,                0.74782,                0.53449,                 1.0782,                0.66465,                 1.0551,               0.003862,               0.003862,               0.003862
                     65,                 1.3206,                0.87657,                 1.1769,                0.79721,                0.62169,                0.74806,                0.53493,                 1.0766,                0.66316,                 1.0541,               0.003763,               0.003763,               0.003763
                     66,                 1.3162,                0.87112,                 1.1759,                0.79773,                 0.6217,                0.74833,                0.53538,                 1.0751,                0.66173,                 1.0533,               0.003664,               0.003664,               0.003664
                     67,                 1.3107,                0.86852,                 1.1708,                0.79923,                0.62155,                0.74866,                0.53595,                  1.073,                0.66053,                 1.0521,               0.003565,               0.003565,               0.003565
                     68,                 1.3119,                0.86678,                 1.1701,                0.79956,                0.62147,                0.74875,                0.53636,                 1.0713,                0.65918,                 1.0512,               0.003466,               0.003466,               0.003466
                     69,                 1.3088,                0.86528,                 1.1705,                0.80094,                0.62102,                0.74903,                0.53685,                 1.0693,                0.65773,                 1.0501,               0.003367,               0.003367,               0.003367
                     70,                 1.3057,                0.86442,                 1.1688,                0.80212,                0.62064,                0.74918,                 0.5374,                 1.0673,                0.65628,                 1.0491,               0.003268,               0.003268,               0.003268
                     71,                 1.3035,                0.86351,                  1.168,                0.80339,                0.62049,                 0.7495,                0.53811,                 1.0654,                0.65505,                 1.0481,               0.003169,               0.003169,               0.003169
                     72,                 1.2994,                0.86068,                 1.1655,                0.80455,                0.62017,                0.74969,                0.53859,                 1.0634,                0.65351,                 1.0471,                0.00307,                0.00307,                0.00307
                     73,                    1.3,                 0.8575,                 1.1652,                0.80477,                0.62013,                0.74981,                0.53896,                 1.0616,                 0.6524,                 1.0461,               0.002971,               0.002971,               0.002971
                     74,                 1.2955,                0.85371,                 1.1626,                0.80576,                0.62024,                0.75017,                0.53959,                 1.0598,                0.65098,                 1.0451,               0.002872,               0.002872,               0.002872
                     75,                  1.293,                0.85075,                 1.1592,                0.80705,                0.62011,                0.75052,                0.54007,                 1.0582,                0.64967,                 1.0443,               0.002773,               0.002773,               0.002773
                     76,                 1.2884,                0.84968,                 1.1586,                0.80766,                0.62026,                0.75087,                0.54066,                 1.0565,                0.64843,                 1.0432,               0.002674,               0.002674,               0.002674
                     77,                 1.2868,                0.84725,                 1.1566,                0.80761,                0.62033,                0.75096,                0.54106,                 1.0546,                0.64736,                 1.0422,               0.002575,               0.002575,               0.002575
                     78,                  1.285,                0.84442,                 1.1564,                0.80879,                0.62032,                0.75127,                0.54158,                 1.0525,                 0.6459,                 1.0411,               0.002476,               0.002476,               0.002476
                     79,                  1.281,                0.84269,                 1.1555,                0.80931,                0.62011,                 0.7514,                  0.542,                 1.0506,                0.64449,                 1.0402,               0.002377,               0.002377,               0.002377
                     80,                 1.2788,                 0.8408,                 1.1538,                0.80994,                0.62004,                0.75158,                0.54257,                 1.0486,                0.64303,                 1.0391,               0.002278,               0.002278,               0.002278
                     81,                 1.2785,                0.84169,                 1.1537,                0.80982,                0.62038,                0.75182,                0.54288,                 1.0468,                0.64176,                 1.0382,               0.002179,               0.002179,               0.002179
                     82,                 1.2741,                0.83577,                 1.1513,                0.81068,                0.62024,                  0.752,                0.54336,                  1.045,                0.64061,                 1.0373,                0.00208,                0.00208,                0.00208
                     83,                 1.2701,                0.83481,                 1.1493,                0.81169,                0.62022,                0.75231,                0.54396,                 1.0432,                0.63931,                 1.0364,               0.001981,               0.001981,               0.001981
                     84,                 1.2647,                0.82958,                  1.147,                0.81227,                0.61982,                0.75242,                0.54466,                 1.0412,                0.63786,                 1.0353,               0.001882,               0.001882,               0.001882
                     85,                 1.2614,                0.82792,                 1.1459,                0.81233,                0.61974,                0.75256,                0.54504,                 1.0394,                 0.6366,                 1.0344,               0.001783,               0.001783,               0.001783
                     86,                 1.2605,                0.82457,                 1.1437,                0.81248,                0.61996,                 0.7528,                0.54541,                 1.0379,                0.63503,                 1.0335,               0.001684,               0.001684,               0.001684
                     87,                 1.2577,                0.82365,                 1.1428,                0.81299,                0.62035,                 0.7532,                0.54589,                 1.0363,                0.63352,                 1.0326,               0.001585,               0.001585,               0.001585
                     88,                 1.2554,                0.82118,                 1.1413,                0.81292,                0.62014,                 0.7532,                0.54637,                 1.0345,                0.63208,                 1.0316,               0.001486,               0.001486,               0.001486
                     89,                 1.2516,                0.81744,                 1.1397,                0.81338,                0.62038,                 0.7535,                0.54691,                 1.0331,                0.63074,                 1.0308,               0.001387,               0.001387,               0.001387
                     90,                 1.2464,                0.81483,                 1.1357,                0.81445,                0.62052,                 0.7539,                0.54731,                 1.0313,                0.62963,                 1.0299,               0.001288,               0.001288,               0.001288
                     91,                 1.1886,                0.76136,                 1.1138,                0.81516,                0.62022,                0.75404,                0.54792,                 1.0299,                0.62828,                 1.0291,               0.001189,               0.001189,               0.001189
                     92,                 1.1777,                0.75014,                 1.1084,                0.81609,                0.62004,                0.75422,                0.54842,                 1.0276,                0.62655,                  1.028,                0.00109,                0.00109,                0.00109
                     93,                 1.1729,                0.74653,                 1.1044,                0.81613,                0.62001,                0.75436,                0.54913,                 1.0251,                 0.6249,                 1.0269,               0.000991,               0.000991,               0.000991
                     94,                 1.1682,                 0.7417,                 1.1021,                0.81631,                 0.6206,                0.75483,                0.54976,                 1.0227,                0.62326,                 1.0258,               0.000892,               0.000892,               0.000892
                     95,                 1.1631,                0.73701,                 1.0993,                0.81623,                0.62093,                0.75508,                0.55033,                 1.0203,                0.62149,                 1.0247,               0.000793,               0.000793,               0.000793
                     96,                 1.1551,                0.73126,                 1.0956,                0.81724,                0.62146,                0.75569,                0.55114,                  1.018,                0.61979,                 1.0236,               0.000694,               0.000694,               0.000694
                     97,                 1.1498,                0.72795,                 1.0919,                0.81695,                0.62213,                0.75604,                0.55149,                 1.0158,                0.61822,                 1.0225,               0.000595,               0.000595,               0.000595
                     98,                 1.1441,                0.72166,                 1.0919,                0.81671,                0.62244,                0.75628,                0.55199,                 1.0136,                0.61672,                 1.0215,               0.000496,               0.000496,               0.000496
                     99,                 1.1402,                0.71903,                 1.0893,                0.81675,                0.62287,                 0.7566,                0.55236,                 1.0115,                0.61527,                 1.0205,               0.000397,               0.000397,               0.000397
                    100,                 1.1353,                0.71553,                 1.0861,                0.81578,                0.62359,                 0.7568,                0.55286,                 1.0093,                0.61392,                 1.0195,               0.000298,               0.000298,               0.000298
